"Retrieval Date","Post ID","Post Type","Post Title","Permalink","Post Date","SNS","Data Type","Data Value",
"2018/09/11 19:07:19","46559","post","現代女性の健康を支える500億ドル市場フェムテックと注目スタートアップ","https://developblog.btrax.com/jp/trend-femtech/","2018/08/31 20:05","Twitter","Share","0",
"2018/09/11 19:07:19","46559","post","現代女性の健康を支える500億ドル市場フェムテックと注目スタートアップ","https://developblog.btrax.com/jp/trend-femtech/","2018/08/31 20:05","Facebook","Share","0",
"2018/09/11 19:07:19","46559","post","現代女性の健康を支える500億ドル市場フェムテックと注目スタートアップ","https://developblog.btrax.com/jp/trend-femtech/","2018/08/31 20:05","Google+","Share","",
"2018/09/11 19:07:19","46559","post","現代女性の健康を支える500億ドル市場フェムテックと注目スタートアップ","https://developblog.btrax.com/jp/trend-femtech/","2018/08/31 20:05","Pocket","Share","0",
"2018/09/11 19:07:19","46559","post","現代女性の健康を支える500億ドル市場フェムテックと注目スタートアップ","https://developblog.btrax.com/jp/trend-femtech/","2018/08/31 20:05","Hatebu","Share","0",
"2018/09/11 19:07:19","46559","post","現代女性の健康を支える500億ドル市場フェムテックと注目スタートアップ","https://developblog.btrax.com/jp/trend-femtech/","2018/08/31 20:05","Pinterest","Share","0",
"2018/09/11 19:07:19","46559","post","現代女性の健康を支える500億ドル市場フェムテックと注目スタートアップ","https://developblog.btrax.com/jp/trend-femtech/","2018/08/31 20:05","Linkedin","Share","0",
"2018/09/11 19:07:19","46557","post","メルカリが取り入れる米国式ワークカルチャーとは【石塚 亮氏インタビュー#1】","https://developblog.btrax.com/jp/mercari-interview1/","2018/08/28 20:05","Twitter","Share","0",
"2018/09/11 19:07:19","46557","post","メルカリが取り入れる米国式ワークカルチャーとは【石塚 亮氏インタビュー#1】","https://developblog.btrax.com/jp/mercari-interview1/","2018/08/28 20:05","Facebook","Share","0",
"2018/09/11 19:07:19","46557","post","メルカリが取り入れる米国式ワークカルチャーとは【石塚 亮氏インタビュー#1】","https://developblog.btrax.com/jp/mercari-interview1/","2018/08/28 20:05","Google+","Share","",
"2018/09/11 19:07:19","46557","post","メルカリが取り入れる米国式ワークカルチャーとは【石塚 亮氏インタビュー#1】","https://developblog.btrax.com/jp/mercari-interview1/","2018/08/28 20:05","Pocket","Share","0",
"2018/09/11 19:07:19","46557","post","メルカリが取り入れる米国式ワークカルチャーとは【石塚 亮氏インタビュー#1】","https://developblog.btrax.com/jp/mercari-interview1/","2018/08/28 20:05","Hatebu","Share","0",
